"day_of_the_week,day,month,year,draw_id_number,nr1,nr2,nr3,nr4,nr5,nr6"
"Niedziela,27,01,1957,1,8,12,31,39,43,45"
"Niedziela,03,02,1957,2,5,10,11,22,25,27"
"Niedziela,10,02,1957,3,18,19,20,26,45,49"
"Niedziela,17,02,1957,4,2,11,14,37,40,45"
"Niedziela,24,02,1957,5,8,10,15,35,39,49"
"Niedziela,03,03,1957,6,24,26,31,35,43,47"
"Niedziela,10,03,1957,7,13,20,23,29,38,44"
"Niedziela,17,03,1957,8,8,13,15,22,38,47"
"Niedziela,24,03,1957,9,3,10,27,29,34,42"
"Niedziela,31,03,1957,10,4,5,6,13,23,25"
"Niedziela,07,04,1957,11,1,7,13,15,21,39"
"Niedziela,14,04,1957,12,2,4,31,38,39,46"
"Niedziela,28,04,1957,13,15,18,22,26,33,38"
"Niedziela,05,05,1957,14,2,4,11,18,25,48"
"Niedziela,12,05,1957,15,2,8,28,31,32,33"
"Niedziela,19,05,1957,16,10,13,19,21,32,34"
"Niedziela,26,05,1957,17,16,24,25,29,32,36"
"Niedziela,02,06,1957,18,10,11,12,31,32,33"
"Niedziela,09,06,1957,19,5,16,23,30,32,46"
"Niedziela,16,06,1957,20,3,5,11,14,33,48"
"Niedziela,23,06,1957,21,4,9,16,19,28,39"
"Niedziela,30,06,1957,22,13,19,21,24,30,36"
"Niedziela,07,07,1957,23,8,14,24,26,30,33"
"Niedziela,14,07,1957,24,1,11,14,25,44,49"
"Niedziela,21,07,1957,25,3,6,13,22,27,33"
"Niedziela,28,07,1957,26,1,13,19,21,27,35"
"Niedziela,04,08,1957,27,2,5,15,20,30,48"
"Niedziela,11,08,1957,28,4,19,21,32,34,37"
"Niedziela,18,08,1957,29,1,6,17,27,40,44"
"Niedziela,25,08,1957,30,8,20,39,41,45,49"
"Niedziela,01,09,1957,31,5,16,17,38,40,48"
"Niedziela,08,09,1957,32,6,16,21,25,43,48"
"Niedziela,15,09,1957,33,5,10,16,18,40,42"
"Niedziela,22,09,1957,34,1,15,16,19,47,48"
"Niedziela,29,09,1957,35,4,12,30,35,46,48"
"Niedziela,06,10,1957,36,2,8,9,12,16,30"
"Niedziela,13,10,1957,37,18,22,27,31,35,36"
"Niedziela,20,10,1957,38,22,24,37,40,41,45"
"Niedziela,27,10,1957,39,1,9,14,27,32,34"
"Niedziela,03,11,1957,40,13,21,28,36,39,40"
"Niedziela,10,11,1957,41,8,19,28,30,31,47"
"Niedziela,17,11,1957,42,1,7,9,14,45,48"
"Niedziela,24,11,1957,43,2,6,18,20,40,49"
"Niedziela,01,12,1957,44,5,8,14,26,32,44"
"Niedziela,08,12,1957,45,11,17,24,35,42,47"
"Niedziela,15,12,1957,46,7,12,19,36,42,49"
"Niedziela,22,12,1957,47,8,15,24,27,37,46"
"Niedziela,05,01,1958,48,2,20,22,36,37,45"
"Niedziela,12,01,1958,49,1,24,30,37,47,48"
"Niedziela,19,01,1958,50,9,15,29,33,43,44"
"Niedziela,26,01,1958,51,12,34,35,43,44,49"
"Niedziela,02,02,1958,52,1,15,29,30,31,33"
